Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Rochester Public Utilities,MN,Municipal,"45,014","342,986","41,924.2",12.22
"Roseau Electric Coop, Inc",MN,Cooperative,"6,035","109,196","12,288.7",11.25
Runestone Electric Assn,MN,Cooperative,"12,793","175,134","19,521.8",11.15
Shakopee Public Utilities Comm,MN,Municipal,"14,839","137,368","15,819.0",11.52
Sioux Valley SW Elec Coop,MN,Cooperative,"2,714","65,072","6,636.1",10.20
Sleepy Eye Public Utility Comm,MN,Municipal,"1,536","13,664","1,560.0",11.42
South Central Electric Assn,MN,Cooperative,"3,432","60,111","7,803.6",12.98
Stearns Cooperative Elec Assn,MN,Cooperative,"22,912","353,970","35,933.0",10.15
Steele-Waseca Cooperative Electric,MN,Cooperative,"8,705","101,510","13,767.5",13.56
Todd-Wadena Electric Coop,MN,Cooperative,"7,606","114,742","12,951.5",11.29
"Traverse Electric Coop, Inc",MN,Cooperative,"1,705","28,450","3,109.0",10.93
Tri-County Electric Coop,MN,Cooperative,"12,537","162,724","22,269.4",13.69
"Wild Rice Electric Coop, Inc",MN,Cooperative,"13,090","201,380","23,059.1",11.45
Willmar Municipal Utilities,MN,Municipal,"7,868","67,169","7,474.0",11.13
Wright-Hennepin Coop Elec Assn,MN,Cooperative,"42,397","524,417","55,276.0",10.54
Atchison-Holt Electric Coop,MO,Cooperative,"2,134","23,201","2,589.0",11.16
Barry Electric Coop,MO,Cooperative,"8,389","114,168","10,567.8",9.26
"Barton County Elec Coop, Inc",MO,Cooperative,"5,044","75,156","9,389.0",12.49
Black River Electric Coop - (MO),MO,Cooperative,"20,406","274,845","27,000.0",9.82
Boone Electric Coop,MO,Cooperative,"29,105","386,275","39,758.0",10.29
Callaway Electric Cooperative,MO,Cooperative,"12,085","169,479","19,051.0",11.24
Carroll Electric Coop Corp - (AR),MO,Cooperative,"10,629","110,665","9,870.0",8.92
Central Missouri Elec Coop Inc,MO,Cooperative,"10,055","167,725","15,176.0",9.05
Chillicothe Municipal Utils,MO,Municipal,"3,799","42,265","4,107.0",9.72
Citizens Electric Corporation - (MO),MO,Cooperative,"23,950","277,133","36,336.0",13.11
City Utilities of Springfield - (MO),MO,Municipal,"95,794","1,044,174","93,416.3",8.95
City of Ava - (MO),MO,Municipal,"1,227","11,212",861.0,7.68
City of Cameron,MO,Municipal,"2,858","30,918","3,341.0",10.81
City of Carthage - (MO),MO,Municipal,"6,349","76,343","7,202.0",9.43
City of Columbia - (MO),MO,Municipal,"39,826","404,002","44,415.0",10.99
City of Farmington - (MO),MO,Municipal,"5,869","75,353","6,949.0",9.22
City of Fulton - (MO),MO,Municipal,"4,495","52,783","5,792.0",10.97
City of Hannibal - (MO),MO,Municipal,"7,635","82,303","8,514.0",10.34
City of Harrisonville - (MO),MO,Municipal,"3,924","43,374","5,015.0",11.56
City of Independence - (MO),MO,Municipal,"51,119","523,280","71,310.0",13.63
City of Jackson - (MO),MO,Municipal,"5,899","71,234","7,183.7",10.08
City of Kennett - (MO),MO,Municipal,"4,839","73,593","5,403.0",7.34
City of Kirkwood - (MO),MO,Municipal,"8,771","100,678","9,912.0",9.85
City of Lamar - (MO),MO,Municipal,"2,056","21,975","2,530.0",11.51
City of Lebanon - (MO),MO,Municipal,"5,741","77,702","6,946.4",8.94
City of Macon - (MO),MO,Municipal,"2,531","28,121","3,194.0",11.36
City of Marshall - (MO),MO,Municipal,"4,978","49,891","5,327.0",10.68
City of Monett - (MO),MO,Municipal,"3,912","44,022","3,858.0",8.76
City of Mount Vernon - (MO),MO,Municipal,"1,828","18,700","1,763.0",9.43
City of Nixa - (MO),MO,Municipal,"8,125","86,203","8,841.0",10.26
City of Poplar Bluff - (MO),MO,Municipal,"7,837","120,114","9,078.7",7.56
City of Rolla - (MO),MO,Municipal,"7,682","95,262","9,608.0",10.09
City of Sikeston - (MO),MO,Municipal,"7,293","125,220","5,963.0",4.76
City of Sullivan - (MO),MO,Municipal,"3,123","38,500","3,879.0",10.08
City of West Plains,MO,Municipal,"4,992","63,669","5,435.7",8.54
Clay County Electric Coop Corp,MO,Cooperative,60,491,58.6,11.93
Co-Mo Electric Coop Inc,MO,Cooperative,"28,908","331,391","35,965.5",10.85
Consolidated Electric Coop,MO,Cooperative,"7,241","108,346","11,129.0",10.27
"Crawford Electric Coop, Inc",MO,Cooperative,"18,171","247,438","24,764.0",10.01
Cuivre River Electric Coop Inc,MO,Cooperative,"54,863","890,331","76,572.0",8.60
Empire District Electric Co,MO,Investor Owned,"124,808","1,646,997","192,977.7",11.72
"Farmers Electric Coop, Inc - (MO)",MO,Cooperative,"11,779","152,136","17,470.5",11.48
Gascosage Electric Coop,MO,Cooperative,"8,897","130,759","11,782.0",9.01
"Grundy Electric Coop, Inc",MO,Cooperative,"5,695","67,155","7,443.0",11.08
Howard Electric Coop,MO,Cooperative,"3,306","39,650","4,915.0",12.40
"Howell-Oregon Elec Coop, Inc",MO,Cooperative,"21,645","285,796","26,774.0",9.37
Intercounty Electric Coop Assn,MO,Cooperative,"29,247","418,769","43,326.0",10.35
KCP&L Greater Missouri Operations Co.,MO,Investor Owned,"274,500","3,489,776","377,172.5",10.81
Kansas City Power & Light Co,MO,Investor Owned,"238,776","2,590,377","283,250.2",10.93
"Laclede Electric Coop, Inc",MO,Cooperative,"32,987","481,176","44,629.0",9.27
Lewis County Rural E C A,MO,Cooperative,"6,298","77,065","9,600.9",12.46
Macon Electric Coop,MO,Cooperative,"9,946","120,680","13,891.0",11.51
Missouri Rural Electric Coop,MO,Cooperative,"4,679","59,532","6,166.0",10.36
"New-Mac Electric Coop, Inc",MO,Cooperative,"16,790","256,485","26,500.0",10.33
North Central MO Elec Coop Inc,MO,Cooperative,"4,313","46,594","5,863.0",12.58
Osage Valley Elec Coop Assn,MO,Cooperative,"14,894","236,602","24,706.0",10.44
