Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Rich Mountain Elec Coop, Inc",OK,Cooperative,477,"5,321",477.0,8.96
"Rural Electric Coop, Inc",OK,Cooperative,"8,213","110,729","11,807.0",10.66
Southeastern Electric Coop Inc - (OK),OK,Cooperative,"13,253","178,238","18,453.2",10.35
Southwest Arkansas E C C,OK,Cooperative,225,"3,088",259.2,8.39
Southwest Rural Elec Assn Inc,OK,Cooperative,"3,684","38,876","4,782.0",12.30
Southwestern Electric Coop Inc - (NM),OK,Cooperative,3,27,5.1,18.89
Stillwater Utilities Authority,OK,Municipal,"17,434","195,059","20,020.0",10.26
Tahlequah Public Works Authority,OK,Municipal,"6,546","66,549","6,366.0",9.57
"Tri-County Electric Coop, Inc",OK,Cooperative,"11,487","152,153","17,809.0",11.70
Verdigris Valley Elec Coop Inc,OK,Cooperative,"30,105","513,797","48,175.0",9.38
Wagoner Public Works Authority,OK,Municipal,"3,359","39,525","4,161.8",10.53
Blachly-Lane County Coop El Assn,OR,Cooperative,"3,242","51,494","5,272.0",10.24
Canby Utility Board,OR,Municipal,"6,049","78,374","5,027.6",6.41
Central Electric Coop Inc - (OR),OR,Cooperative,"27,188","440,371","35,713.0",8.11
Central Lincoln People's Ut Dt,OR,Political Subdivision,"32,744","433,411","34,004.0",7.85
City of Ashland - (OR),OR,Municipal,"10,172","90,862","6,483.0",7.13
City of Bandon - (OR),OR,Municipal,"2,781","34,629","2,653.0",7.66
City of Eugene - (OR),OR,Municipal,"79,626","941,922","90,785.0",9.64
City of Forest Grove,OR,Municipal,"8,159","109,097","7,134.2",6.54
City of Hermiston,OR,Municipal,"4,472","51,129","3,577.0",7.00
City of McMinnville - (OR),OR,Municipal,"13,068","204,187","10,950.0",5.36
City of Milton-Freewater- (OR),OR,Municipal,"3,504","60,331","3,646.0",6.04
City of Monmouth - (OR),OR,Municipal,"3,994","43,642","3,760.7",8.62
City of Springfield - (OR),OR,Municipal,"27,848","386,504","21,526.0",5.57
Clatskanie Peoples Util Dist,OR,Political Subdivision,"4,036","72,364","3,499.0",4.84
Clearwater Power Company,OR,Cooperative,135,"1,419",149.9,10.56
"Columbia Basin Elec Cooperative, Inc",OR,Cooperative,"3,092","41,387","3,744.6",9.05
Columbia Power Coop Assn Inc,OR,Cooperative,"1,329","13,912","1,279.4",9.20
Columbia River Peoples Ut Dist,OR,Political Subdivision,"16,111","211,529","14,259.0",6.74
"Columbia Rural Elec Assn, Inc",OR,Cooperative,44,757,71.7,9.47
"Consumers Power, Inc",OR,Cooperative,"19,723","269,083","23,942.7",8.90
"Coos-Curry Electric Coop, Inc",OR,Cooperative,"14,938","196,349","18,867.5",9.61
Douglas Electric Coop - (OR),OR,Cooperative,"9,027","120,998","11,268.0",9.31
Emerald People's Utility Dist,OR,Political Subdivision,"18,118","280,175","23,770.3",8.48
"Harney Electric Coop, Inc",OR,Cooperative,945,"17,596","1,256.0",7.14
Hood River Electric Coop,OR,Cooperative,"3,262","53,201","3,768.9",7.08
Idaho Power Co,OR,Investor Owned,"13,319","185,122","16,344.6",8.83
Lane Electric Coop Inc,OR,Cooperative,"11,884","191,562","17,789.9",9.29
"Midstate Electric Coop, Inc",OR,Cooperative,"16,160","231,394","17,881.0",7.73
Northern Wasco County PUD,OR,Political Subdivision,"9,198","139,695","8,146.7",5.83
"Oregon Trail El Cons Coop, Inc",OR,Cooperative,"25,033","280,932","24,621.0",8.76
PacifiCorp,OR,Investor Owned,"473,821","5,405,577","561,148.3",10.38
Portland General Electric Co,OR,Investor Owned,"723,440","7,505,404","804,945.0",10.72
Salem Electric - (OR),OR,Cooperative,"16,500","183,577","15,075.0",8.21
Surprise Valley Electrificatio,OR,Cooperative,"1,148","15,827","1,161.9",7.34
Tillamook Peoples Utility Dist,OR,Political Subdivision,"18,433","229,065","19,170.0",8.37
Umatilla Electric Coop Assn,OR,Cooperative,"10,961","164,377","12,794.8",7.78
"Wasco Electric Coop, Inc",OR,Cooperative,"3,769","49,264","4,711.0",9.56
Adams Electric Cooperative Inc,PA,Cooperative,"29,515","418,382","46,167.0",11.03
"Bedford Rural Elec Coop, Inc",PA,Cooperative,"8,495","97,065","10,895.0",11.22
Borough of Chambersburg,PA,Municipal,"9,291","89,291","10,330.0",11.57
Borough of Ephrata,PA,Municipal,"5,757","61,100","8,384.0",13.72
Borough of Lansdale,PA,Municipal,"7,030","48,695","8,203.0",16.85
Borough of Quakertown - (PA),PA,Municipal,"3,716","35,174","5,584.0",15.88
"Central Electric Coop, Inc - (PA)",PA,Cooperative,"23,166","216,101","27,205.0",12.59
Citizens Electric Co - (PA),PA,Investor Owned,"5,711","80,082","8,185.0",10.22
Claverack Rural Elec Coop Inc,PA,Cooperative,"17,126","170,929","22,846.0",13.37
Duquesne Light Co,PA,Investor Owned,"319,846","2,413,079","377,729.3",15.65
Metropolitan Edison Co,PA,Investor Owned,"380,835","4,124,341","526,595.3",12.77
"Northwestern Rural E C A, Inc - (PA)",PA,Cooperative,"18,146","193,886","24,143.0",12.45
PECO Energy Co,PA,Investor Owned,"1,051,392","9,571,314","1,463,662.1",15.29
PPL Electric Utilities Corp,PA,Investor Owned,"733,889","7,455,443","864,251.0",11.59
Pennsylvania Electric Co,PA,Investor Owned,"376,199","3,175,349","423,187.6",13.33
Pennsylvania Power Co,PA,Investor Owned,"104,202","1,218,274","127,028.4",10.43
Pike County Light & Power Co,PA,Investor Owned,"1,245","9,893","1,148.5",11.61
REA Energy Coop Inc,PA,Cooperative,"20,942","234,722","25,337.0",10.79
"Somerset Rural Elec Coop, Inc",PA,Cooperative,"12,227","121,881","12,539.0",10.29
Tri-County Rural Elec Coop Inc,PA,Cooperative,"17,718","117,786","17,487.0",14.85
"UGI Utilities, Inc",PA,Investor Owned,"54,414","538,585","63,667.0",11.82
"United Electric Coop, Inc - (PA)",PA,Cooperative,"16,601","118,948","17,005.0",14.30
Valley Rural Electric Coop Inc,PA,Cooperative,"18,954","202,429","24,296.0",12.00
Wellsborough Electric Co,PA,Investor Owned,"5,045","43,493","5,502.8",12.65
West Penn Power Company,PA,Investor Owned,"491,053","5,454,487","484,888.8",8.89
Block Island Power Co,RI,Investor Owned,"1,399","4,111","2,289.0",55.68
Pascoag Utility District,RI,Municipal,"4,011","30,586","4,027.0",13.17
The Narragansett Electric Co,RI,Investor Owned,"425,083","3,039,610","436,688.7",14.37
Aiken Electric Coop Inc,SC,Cooperative,"42,918","575,042","76,641.0",13.33
Berkeley Electric Coop Inc,SC,Cooperative,"74,218","1,145,858","137,627.0",12.01
"Black River Electric Coop, Inc - (SC)",SC,Cooperative,"27,373","438,892","47,728.2",10.87
Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,"58,426","712,669","94,765.0",13.30
"Broad River Electric Coop, Inc",SC,Cooperative,"19,089","247,151","33,495.7",13.55
City of Bennettsville- (SC),SC,Municipal,"4,064","46,750","5,330.0",11.40
City of Camden,SC,Municipal,"9,316","98,909","10,978.0",11.10
City of Gaffney - (SC),SC,Municipal,"5,575","67,296","6,682.0",9.93
City of Georgetown - (SC),SC,Municipal,"3,821","45,464","4,344.0",9.55
City of Laurens - (SC),SC,Municipal,"4,657","46,492","5,785.0",12.44
City of Newberry - (SC),SC,Municipal,"4,049","45,307","5,304.0",11.71
City of Orangeburg - (SC),SC,Municipal,"20,504","270,800","27,381.4",10.11
City of Rock Hill - (SC),SC,Municipal,"30,012","338,012","34,520.0",10.21
City of Seneca,SC,Municipal,"6,606","57,220","6,593.9",11.52
City of Union - (SC),SC,Municipal,"5,887","69,375","7,712.0",11.12
Clinton Combined Utility Sys,SC,Municipal,"3,476","33,449","5,097.0",15.24
"Coastal Electric Coop, Inc",SC,Cooperative,"10,353","136,765","19,445.0",14.22
"Duke Energy Carolinas, LLC",SC,Investor Owned,"456,064","6,189,040","609,303.0",9.84
Easley Combined Utility System,SC,Municipal,"11,713","151,687","17,328.0",11.42
"Edisto Electric Coop, Inc",SC,Cooperative,"14,941","223,196","30,440.6",13.64
"Fairfield Electric Coop, Inc",SC,Cooperative,"24,557","349,202","41,582.0",11.91
Greenwood CPW,SC,Municipal,"10,961","108,086","9,865.0",9.13
Greer Commission of Public Wks,SC,Municipal,"14,003","167,257","17,095.0",10.22
Haywood Electric Member Corp,SC,Cooperative,10,27,6.0,22.22
Horry Electric Coop Inc,SC,Cooperative,"58,683","799,895","103,286.0",12.91
"Laurens Electric Coop, Inc",SC,Cooperative,"47,972","650,544","77,825.0",11.96
Little River Electric Coop Inc,SC,Cooperative,"11,847","143,439","18,657.1",13.01
Lockhart Power Co,SC,Investor Owned,"4,985","64,605","7,916.1",12.25
"Lynches River Elec Coop, Inc",SC,Cooperative,"19,574","243,595","28,613.0",11.75
"Marlboro Electric Coop, Inc",SC,Cooperative,"5,338","80,002","10,182.0",12.73
Mid-Carolina Electric Coop Inc,SC,Cooperative,"45,255","657,737","80,736.6",12.27
"Newberry Electric Coop, Inc",SC,Cooperative,"11,915","151,882","19,305.0",12.71
Palmetto Electric Coop Inc,SC,Cooperative,"58,558","840,156","93,526.0",11.13
"Pee Dee Electric Coop, Inc",SC,Cooperative,"28,583","418,466","55,291.0",13.21
Progress Energy Carolinas Inc,SC,Investor Owned,"134,808","2,070,496","206,275.0",9.96
"Santee Electric Coop, Inc",SC,Cooperative,"40,919","572,150","75,045.4",13.12
South Carolina Electric&Gas Co,SC,Investor Owned,"574,222","7,571,107","1,032,370.0",13.64
South Carolina Public Service Authority,SC,State,"138,353","1,622,520","163,146.0",10.06
"Tri-County Electric Coop, Inc",SC,Cooperative,"17,363","226,486","31,964.0",14.11
York Electric Coop Inc,SC,Cooperative,"41,211","573,547","65,526.0",11.42
"Black Hills Electric Coop, Inc",SD,Cooperative,"8,151","106,689","12,200.1",11.44
Black Hills Power Inc,SD,Investor Owned,"54,161","508,911","54,846.2",10.78
"Bon Homme Yankton El Assn, Inc",SD,Cooperative,"3,068","50,673","5,269.2",10.40
"Butte Electric Coop, Inc",SD,Cooperative,"4,509","54,797","6,633.0",12.10
"Cam Wal Electric Coop, Inc",SD,Cooperative,"2,053","27,635","3,314.0",11.99
"Central Electric Coop, Inc - (SD)",SD,Cooperative,"7,006","116,076","11,616.9",10.01
"Charles Mix Electric Assn, Inc",SD,Cooperative,"2,162","28,361","3,801.0",13.40
"Cherry-Todd Electric Coop, Inc",SD,Cooperative,"4,315","53,735","6,139.2",11.42
City of Beresford,SD,Municipal,895,"9,527","1,118.0",11.74
City of Brookings - (SD),SD,Municipal,"8,471","88,471","7,868.0",8.89
City of Flandreau,SD,Municipal,"1,063","10,822",945.0,8.73
City of Fort Pierre - (SD),SD,Municipal,990,"12,077","1,227.0",10.16
City of Madison - (SD),SD,Municipal,"2,797","34,047","3,498.0",10.27
City of Miller - (SD),SD,Municipal,756,"12,525",924.0,7.38
City of Pierre - (SD),SD,Municipal,"6,002","69,637","5,891.9",8.46
City of Sioux Falls - (SD),SD,Municipal,"1,676","9,624","1,042.0",10.83
City of Vermillion - (SD),SD,Municipal,"3,951","31,459","3,214.0",10.22
City of Volga,SD,Municipal,830,"9,516","1,033.0",10.86
Clay-Union Electric Corp,SD,Cooperative,"3,088","48,778","5,108.0",10.47
"Codington-Clark Elec Coop, Inc",SD,Cooperative,"2,934","67,823","6,426.0",9.47
Dakota Energy Coop Inc,SD,Cooperative,"3,261","53,772","6,530.9",12.15
"Douglas Electric Coop, Inc",SD,Cooperative,729,"16,347","1,857.0",11.36
"FEM Electric Assn, Inc",SD,Cooperative,"1,869","28,436","3,531.0",12.42
"Grand Electric Coop, Inc",SD,Cooperative,"4,494","38,124","3,579.0",9.39
H-D Electric Coop Inc,SD,Cooperative,"3,074","55,134","5,245.0",9.51
"LaCreek Electric Assn, Inc",SD,Cooperative,"5,550","64,850","6,690.0",10.32
"Lake Region Electric Assn, Inc - (SD)",SD,Cooperative,"3,319","47,724","5,566.0",11.66
MidAmerican Energy Co,SD,Investor Owned,"3,594","44,074","3,296.0",7.48
Montana-Dakota Utilities Co,SD,Investor Owned,"6,593","70,158","6,540.0",9.32
Moreau-Grand Electric Coop Inc,SD,Cooperative,"5,836","54,675","6,613.0",12.10
Nebraska Public Power District,SD,Political Subdivision,"1,073","16,361","1,564.0",9.56
NorthWestern Energy - (SD),SD,Investor Owned,"48,929","544,140","47,696.0",8.77
"Northern Electric Coop, Inc",SD,Cooperative,"5,159","116,738","10,734.0",9.19
Northern States Power Co - Minnesota,SD,Investor Owned,"73,934","711,445","73,833.0",10.38
Oahe Electric Coop Inc,SD,Cooperative,"2,167","34,949","3,194.5",9.14
Otter Tail Power Co,SD,Investor Owned,"8,652","114,885","9,383.9",8.17
Rosebud Electric Coop Inc,SD,Cooperative,"4,620","58,558","5,497.0",9.39
Sioux Valley SW Elec Coop,SD,Cooperative,"16,891","260,715","26,651.6",10.22
Southeastern Electric Coop Inc - (SD),SD,Cooperative,"13,407","211,185","20,267.1",9.60
Town of Pickstown - (SD),SD,Municipal,126,"1,653",103.4,6.26
"Traverse Electric Coop, Inc",SD,Cooperative,990,"17,696","1,917.0",10.83
Union County Electric Coop Inc,SD,Cooperative,"1,259","21,375","2,439.4",11.41
Watertown Municipal Utilities,SD,Municipal,"11,158","112,418","8,582.0",7.63
West Central Electric Coop Inc - (SD),SD,Cooperative,"5,639","69,427","7,639.0",11.00
West River Electric Assn Inc,SD,Cooperative,"14,040","151,758","18,651.0",12.29
Whetstone Valley Elec Coop Inc,SD,Cooperative,"3,079","51,856","5,597.2",10.79
Winner Municipal Utility,SD,Municipal,"1,436","18,008","1,874.0",10.41
Appalachian Electric Coop,TN,Cooperative,"38,721","581,710","62,532.0",10.75
Athens Utility Board,TN,Municipal,"10,898","152,793","15,133.0",9.90
Benton County,TN,Municipal,"8,533","109,710","12,438.0",11.34
Bolivar Energy Authority,TN,Municipal,"8,839","130,966","14,614.0",11.16
"Caney Fork Electric Coop, Inc",TN,Cooperative,"26,765","373,372","38,277.0",10.25
Carroll County - (TN),TN,Municipal,"12,495","184,321","17,828.0",9.67
"Chickasaw Electric Coop, Inc",TN,Cooperative,"15,495","277,184","25,822.0",9.32
City of Alcoa Utilities,TN,Municipal,"23,572","350,474","35,293.0",10.07
City of Bristol - (TN),TN,Municipal,"28,394","440,576","40,875.0",9.28
City of Brownsville,TN,Municipal,"4,189","57,653","5,435.0",9.43
City of Chattanooga - (TN),TN,Municipal,"137,799","2,007,135","204,015.0",10.16
City of Clarksville - (TN),TN,Municipal,"55,224","773,360","84,805.0",10.97
City of Cleveland - (TN),TN,Municipal,"25,237","360,686","34,378.0",9.53
City of Clinton - (TN),TN,Municipal,"25,110","366,814","38,652.0",10.54
City of Cookeville - (TN),TN,Municipal,"13,712","168,244","16,773.0",9.97
City of Covington - (TN),TN,Municipal,"3,711","50,053","4,813.0",9.62
City of Dayton - (TN),TN,Municipal,"8,440","110,448","11,706.0",10.60
City of Dickson,TN,Municipal,"27,953","418,894","41,778.0",9.97
City of Dyersburg,TN,Municipal,"9,486","140,492","13,230.0",9.42
City of Elizabethton,TN,Municipal,"22,757","312,582","32,919.0",10.53
City of Etowah,TN,Municipal,"4,377","58,583","6,273.0",10.71
City of Fayetteville,TN,Municipal,"15,694","231,565","24,299.0",10.49
City of Gallatin - (TN),TN,Municipal,"13,428","192,871","16,977.0",8.80
City of Greeneville - (TN),TN,Municipal,"30,604","447,435","43,135.0",9.64
City of Harriman - (TN),TN,Municipal,"9,475","128,596","13,558.0",10.54
City of Humboldt,TN,Municipal,"3,500","46,537","4,449.0",9.56
City of Jackson - (TN),TN,Municipal,"28,605","399,716","40,666.0",10.17
City of Jellico,TN,Municipal,"1,925","24,688","2,463.0",9.98
City of LaFollette,TN,Municipal,"18,991","241,442","27,005.0",11.18
City of Lawrenceburg,TN,Municipal,"16,826","238,928","24,207.0",10.13
City of Lenoir - (TN),TN,Municipal,"48,809","799,295","77,194.0",9.66
City of Lewisburg - (TN),TN,Municipal,"4,417","61,540","5,890.0",9.57
City of Lexington - (TN),TN,Municipal,"17,906","234,341","24,073.0",10.27
City of Memphis - (TN),TN,Municipal,"361,029","5,326,644","508,971.5",9.56
City of Milan,TN,Municipal,"6,653","102,036","10,111.0",9.91
City of Morristown - (TN),TN,Municipal,"11,753","152,339","15,591.0",10.23
City of Mt Pleasant - (TN),TN,Municipal,"3,121","47,382","5,243.0",11.07
City of Murfreesboro,TN,Municipal,"46,413","649,290","65,728.0",10.12
City of Newbern,TN,Municipal,"1,426","20,486","1,876.0",9.16
City of Newport,TN,Municipal,"17,849","235,397","23,524.0",9.99
City of Oak Ridge,TN,Municipal,"13,958","160,518","17,255.0",10.75
City of Paris - (TN),TN,Municipal,"15,442","225,898","21,701.0",9.61
City of Pulaski - (TN),TN,Municipal,"11,640","164,450","18,265.0",11.11
City of Ripley - (TN),TN,Municipal,"5,341","74,374","7,531.0",10.13
City of Rockwood,TN,Municipal,"11,561","167,874","18,176.0",10.83
City of Shelbyville - (TN),TN,Municipal,"8,223","106,459","10,771.0",10.12
City of Smithville - (TN),TN,Municipal,"2,036","22,158","2,247.0",10.14
City of Sparta,TN,Municipal,"2,170","24,875","2,387.0",9.60
City of Springfield - (TN),TN,Municipal,"6,877","94,672","8,847.0",9.34
City of Sweetwater,TN,Municipal,"6,977","105,655","10,177.0",9.63
City of Trenton - (TN),TN,Municipal,"1,958","24,444","2,468.0",10.10
City of Union City,TN,Municipal,"5,158","68,327","6,434.0",9.42
City of Winchester - (TN),TN,Municipal,"4,596","63,791","6,303.0",9.88
Columbia Power System,TN,Municipal,"21,189","299,010","29,844.0",9.98
Cumberland Elec Member Corp,TN,Cooperative,"78,052","1,344,964","142,056.0",10.56
"Cumberland Valley Electric, Inc.",TN,Cooperative,82,883,91.0,10.31
Duck River Elec Member Corp,TN,Cooperative,"60,443","967,530","102,759.0",10.62
Entergy Arkansas Inc,TN,Investor Owned,1,2,0.2,10.00
"Forked Deer Electric Coop, Inc",TN,Cooperative,"8,328","138,448","15,502.0",11.20
Fort Loudoun Electric Coop,TN,Cooperative,"27,192","421,347","45,007.0",10.68
French Broad Elec Member Corp,TN,Cooperative,941,"7,710",995.2,12.91
Gibson Electric Members Corp,TN,Cooperative,"28,712","456,551","49,094.0",10.75
Hickman-Fulton Counties RECC,TN,Cooperative,105,"1,711",222.0,12.97
"Holston Electric Coop, Inc",TN,Cooperative,"24,857","351,060","35,087.0",9.99
Johnson City - (TN),TN,Municipal,"65,078","927,051","93,295.0",10.06
Kentucky Utilities Co,TN,Investor Owned,4,105,7.0,6.67
Kingsport Power Co,TN,Investor Owned,"41,179","662,471","55,428.7",8.37
Knoxville Utilities Board,TN,Municipal,"172,930","2,335,225","228,956.0",9.80
Loudon Utilities Board,TN,Municipal,"9,628","145,232","14,518.0",10.00
Maryville Utilities,TN,Municipal,"17,416","243,667","22,407.0",9.20
McMinnville Electric System,TN,Municipal,"6,148","76,318","7,391.0",9.68
Meriwether Lewis Electric Coop,TN,Cooperative,"28,502","395,497","43,296.0",10.95
Middle Tennessee E M C,TN,Cooperative,"165,822","2,858,526","278,753.0",9.75
"Mountain Electric Coop, Inc",TN,Cooperative,"15,393","151,180","16,000.0",10.58
Nashville Electric Service,TN,Municipal,"322,885","4,538,599","472,880.0",10.42
Pickwick Electric Coop,TN,Cooperative,"16,391","234,136","24,911.0",10.64
Plateau Electric Cooperative,TN,Cooperative,"13,750","155,616","17,590.0",11.30
Powell Valley Electric Coop,TN,Cooperative,"18,796","235,449","24,347.0",10.34
Sequachee Valley Electric Coop,TN,Cooperative,"29,313","410,049","43,356.0",10.57
Sevier County Electric System,TN,Municipal,"33,925","463,764","46,811.0",10.09
South Kentucky Rural E C C,TN,Cooperative,156,"1,283",148.0,11.54
Southwest Tennessee E M C,TN,Cooperative,"41,893","690,400","75,063.0",10.87
Tennessee Valley Electric Coop,TN,Cooperative,"15,766","209,422","22,672.0",10.83
Town of Erwin - (TN),TN,Municipal,"7,679","93,644","9,154.0",9.78
Tri-County Elec Member Corp,TN,Cooperative,"21,574","323,561","33,539.0",10.37
Tri-State Electric Member Corp,TN,Cooperative,"2,614","30,804","3,716.0",12.06
Tullahoma Board-Public Utils,TN,Municipal,"8,500","118,646","11,189.0",9.43
Upper Cumberland E M C,TN,Cooperative,"40,377","574,305","61,138.0",10.65
Volunteer Electric Coop,TN,Cooperative,"93,337","1,324,678","139,160.0",10.51
Weakley County Mun Elec Sys,TN,Municipal,"16,073","254,714","24,099.0",9.46
Hudson Energy Services,TX,Retail Energy Provider,91,"2,502",110.2,4.40
Glacial Energy Holdings,TX,Retail Energy Provider,285,"16,189",907.5,5.61
GEXA Corp.,TX,Retail Energy Provider,"119,945","1,966,076","115,085.4",5.85
Source Power & Gas LLC,TX,Retail Energy Provider,74,861,54.0,6.27
"Wolverine Alternative Investments, LLC",TX,Retail Energy Provider,11,88,6.3,7.16
Southwestern Electric Power Co,TX,Investor Owned,"147,226","2,178,700","169,602.0",7.78
"Lea County Electric Coop, Inc",TX,Cooperative,"1,572","22,215","1,732.0",7.80
Weatherford Mun Utility System,TX,Municipal,"11,535","166,883","13,105.0",7.85
City of Lubbock - (TX),TX,Municipal,"85,923","992,492","81,412.0",8.20
"Alliance Power Company, LLC.",TX,Retail Energy Provider,"2,676","42,051","3,461.8",8.23
Discount Power,TX,Retail Energy Provider,436,"8,485",705.6,8.32
Epcot Electric,TX,Retail Energy Provider,"6,586","51,200","4,276.0",8.35
Southwest Arkansas E C C,TX,Cooperative,"1,005","21,074","1,815.2",8.61
City of New Braunfels - (TX),TX,Municipal,"25,781","398,790","34,372.9",8.62
Brownsville Public Utilities Board,TX,Municipal,"40,750","555,154","47,877.0",8.62
South Plains Electric Coop Inc,TX,Cooperative,"34,162","456,014","39,437.7",8.65
"Deaf Smith Electric Coop, Inc",TX,Cooperative,"5,003","49,988","4,381.0",8.76
Magic Valley Electric Coop Inc,TX,Cooperative,"89,657","1,359,072","120,123.0",8.84
United Electric Coop Service Inc - (TX),TX,Cooperative,"65,205","1,021,385","90,852.7",8.90
Infinite Electric LLC,TX,Retail Energy Provider,"7,283","112,203","10,057.6",8.96
Entergy Texas Inc.,TX,Investor Owned,"364,095","5,603,724","503,093.5",8.98
Summer Energy LLC,TX,Retail Energy Provider,"4,864","62,090","5,582.4",8.99
City of Fredericksburg - (TX),TX,Municipal,"4,424","53,029","4,789.0",9.03
"Tri-County Electric Coop, Inc",TX,Cooperative,"81,594","1,505,993","136,238.1",9.05
"Rita Blanca Electric Coop, Inc",TX,Cooperative,"2,630","30,348","2,753.4",9.07
4Change Energy Company,TX,Retail Energy Provider,"1,465","14,620","1,332.8",9.12
Green Mountain Energy Company,TX,Retail Energy Provider,"266,640","2,776,190","254,788.6",9.18
Champion Energy Services,TX,Retail Energy Provider,"88,331","1,544,518","141,818.0",9.18
Veteran Energy LLC,TX,Retail Energy Provider,796,"10,416",956.7,9.18
Kerrville Public Utility Board,TX,Municipal,"18,063","257,984","23,739.0",9.20
Southwestern Public Service Co,TX,Investor Owned,"205,802","2,447,935","225,519.0",9.21
City of San Antonio - (TX),TX,Municipal,"654,203","9,221,307","851,958.0",9.24
"Panola-Harrison Elec Coop, Inc",TX,Cooperative,"8,853","126,881","11,761.7",9.27
"TriEagle Energy, L.P.",TX,Retail Energy Provider,"14,917","250,828","23,254.0",9.27
MidAmerican Energy Co,TX,Investor Owned,75,"1,239",115.0,9.28
Heart of Texas Electric Coop,TX,Cooperative,"15,310","274,542","25,567.0",9.31
"US Retailers, LLC",TX,Retail Energy Provider,"19,032","351,530","32,776.9",9.32
AP Holdings LLC,TX,Retail Energy Provider,"7,965","168,542","15,730.0",9.33
City of Bryan - (TX),TX,Municipal,"41,975","595,206","56,358.0",9.47
City of Greenville - (TX),TX,Municipal,"11,215","142,921","13,561.2",9.49
"Denton County Elec Coop, Inc",TX,Cooperative,"151,222","2,745,096","260,619.5",9.49
City of Denton - (TX),TX,Municipal,"42,054","537,631","51,212.0",9.53
APNA Energy,TX,Retail Energy Provider,"5,180","82,365","7,879.3",9.57
City of Floresville,TX,Municipal,"11,649","200,781","19,225.4",9.58
Fort Belknap Electric Coop Inc,TX,Cooperative,"4,246","46,249","4,444.0",9.61
"Brilliant Energy, LLC",TX,Retail Energy Provider,"21,529","383,680","36,895.7",9.62
"Cirro Group, Inc.",TX,Retail Energy Provider,"125,182","2,063,038","198,467.4",9.62
Cooke County Elec Coop Assn,TX,Cooperative,"12,991","176,813","17,170.0",9.71
OnPAC Energy,TX,Retail Energy Provider,"1,012","12,576","1,224.8",9.74
Upshur Rural Elec Coop Corp,TX,Cooperative,"39,479","588,998","57,379.0",9.74
"Mega Energy, LP",TX,Retail Energy Provider,"10,288","175,416","17,234.0",9.82
Energy Plus Holdings LLC,TX,Retail Energy Provider,"13,777","216,302","21,278.7",9.84
City of Boerne,TX,Municipal,"3,783","53,937","5,321.0",9.87
"Lyntegar Electric Coop, Inc",TX,Cooperative,"7,526","86,558","8,565.0",9.90
Austin Energy,TX,Municipal,"378,873","4,241,660","420,073.0",9.90
True Electric LLC,TX,Retail Energy Provider,"3,084","48,297","4,826.9",9.99
"Navarro County Elec Coop, Inc",TX,Cooperative,"13,757","205,341","20,545.0",10.01
AmeriPower LLC,TX,Retail Energy Provider,319,"6,240",626.0,10.03
"Navasota Valley Elec Coop, Inc",TX,Cooperative,"16,947","186,939","18,761.4",10.04
"HILCO Electric Cooperative, Inc.",TX,Cooperative,"18,494","331,970","33,321.0",10.04
Karnes Electric Coop Inc,TX,Cooperative,"14,777","201,508","20,270.0",10.06
City of Brenham - (TX),TX,Municipal,"5,450","75,854","7,636.4",10.07
City of Seguin - (TX),TX,Municipal,"6,878","84,833","8,562.0",10.09
"Texas Power, LP",TX,Retail Energy Provider,"22,970","387,705","39,460.8",10.18
"Potentia Energy, LLC",TX,Retail Energy Provider,"9,695","191,284","19,473.9",10.18
Bailey County Elec Coop Assn,TX,Cooperative,"2,458","24,907","2,536.0",10.18
"Victoria Electric Coop, Inc",TX,Cooperative,"18,216","257,946","26,309.0",10.20
"XOOM Energy Texas, LLC",TX,Retail Energy Provider,"3,844","51,147","5,230.2",10.23
"Tri-County Electric Coop, Inc",TX,Cooperative,191,"2,749",282.0,10.26
Deep East Texas Elec Coop Inc,TX,Cooperative,"37,485","521,714","53,752.0",10.30
"Bandera Electric Coop, Inc",TX,Cooperative,"28,237","391,121","40,437.0",10.34
City of Lockhart - (TX),TX,Municipal,"4,229","54,157","5,604.0",10.35
Trinity Valley Elec Coop Inc,TX,Cooperative,"58,819","921,026","95,377.0",10.36
"Lamb County Electric Coop, Inc",TX,Cooperative,"2,701","32,907","3,427.0",10.41
Amigo Energy,TX,Retail Energy Provider,"82,443","1,258,895","131,276.1",10.43
Wise Electric Coop Inc,TX,Cooperative,"14,998","254,745","26,580.0",10.43
"Bounce Energy, Inc.",TX,Retail Energy Provider,"56,731","811,764","84,798.0",10.45
"Bartlett Electric Coop, Inc",TX,Cooperative,"9,675","139,015","14,543.8",10.46
Our Energy LLC,TX,Retail Energy Provider,"2,216","35,311","3,695.0",10.46
"Jackson Electric Coop, Inc - (TX)",TX,Cooperative,"12,980","136,173","14,313.0",10.51
Guadalupe Valley Elec Coop Inc,TX,Cooperative,"65,763","972,874","103,181.0",10.61
Sharyland Utilities LP,TX,Investor Owned,"26,451","336,851","35,785.1",10.62
"MxEnergy Electric, Inc.",TX,Retail Energy Provider,"1,175","14,587","1,552.0",10.64
"Tara Energy, LLC",TX,Retail Energy Provider,"32,585","438,342","46,747.0",10.66
StarTex Power,TX,Retail Energy Provider,"126,245","1,905,678","203,703.0",10.69
